TITLE ¤¢¤¤¤Ä¤éÈ«†TÍ¬·™»á
0001 125.92999999999999
0010 126.07
0100 126.28999999999999
1000 126.42
0001 126.64
0100 127.11
0010 127.56
1000 127.67
0010 128.01
0100 128.13
0001 128.25
0010 128.48
0001 128.63
0010 128.79
0100 128.92999999999998
1000 129.25
0010 129.41
0100 129.55999999999997
0001 130.30999999999997
0010 130.54
0001 130.77
0100 131.0
0010 131.46
1000 131.69
0001 132.15
0020 132.6
0130 133.06
1000 133.29999999999998
0001 133.53
1001 133.98
2000 134.43
3010 134.67000000000002
0200 134.9
0300 135.25
0200 135.35
0300 135.81
0100 136.05
0001 136.27
1000 136.5
0010 136.73
0110 137.19
0100 137.65
0001 137.98
1000 138.09
0001 138.45000000000002
0010 138.55
0001 138.79000000000002
0200 139.02
0310 139.48000000000002
1000 139.72
0100 139.92000000000002
1000 140.07000000000002
0100 140.39
1000 140.62
0002 140.85
0103 141.31
0010 141.67
1000 141.76
0010 141.99
0100 142.21999999999997
0001 142.32999999999998
0010 142.57
0100 142.69
0010 142.89999999999998
0001 143.13
0100 143.36999999999998
0001 143.58999999999997
1000 143.80999999999997
1000 144.05
0100 144.28
0100 144.5
0010 144.86
0001 144.97
1000 145.19
0001 145.43
0100 145.65
0010 145.88
1000 146.10999999999999
0100 146.33999999999997
0010 146.69
0001 146.79999999999998
0010 147.05999999999997
0100 147.26
1001 147.72
0001 148.18
0001 148.53
0100 148.64000000000001
0010 149.1
1000 149.33
0001 149.55
0010 149.91
0100 150.01
1000 150.45999999999998
0020 150.92
1030 151.60999999999999
0100 151.84
0001 152.19
1000 152.75
0001 153.12
0010 153.21
0100 153.45000000000002
1000 153.67
0010 154.03
1000 154.12
0010 154.37
1000 154.57999999999998
0002 155.04999999999998
2003 155.28
3200 155.5
0320 155.95999999999998
0031 156.32999999999998
1000 156.40999999999997
0001 156.64999999999998
0020 156.86999999999998
0130 157.32
1000 157.78
0010 158.02
0100 158.24
0010 158.49
0100 158.7
0001 158.94
0010 159.60999999999999
0100 159.85999999999999
0020 160.07999999999998
0032 160.54999999999998
0103 160.88
0010 160.99999999999997
1000 161.23
0001 161.36
0010 161.46
0100 161.71
1000 161.92
0002 162.07
0103 162.49
0010 162.61
1000 162.71
0002 162.84
0103 163.18
0010 163.29
1000 163.51
0020 163.73999999999998
0230 164.20999999999998
0301 164.54999999999998
1000 164.66
0002 164.79
0013 165.01
0100 165.12
2000 165.33
3000 165.57
1002 165.8
0203 166.5
0320 166.85
1030 167.19
0001 167.42999999999998
1000 167.54
0100 167.65
0010 167.76999999999998
0100 167.87
1000 168.32
0010 168.78
0100 169.23
0001 169.67999999999998
0010 169.82
0100 170.14999999999998
1000 170.29
0010 170.37999999999997
1000 170.83999999999997
0001 171.28
1000 171.51999999999998
0100 171.75
0010 172.44
0001 172.54999999999998
0100 173.16
0010 173.39999999999998
1000 173.60999999999999
0100 174.20999999999998
0010 174.54999999999998
0001 175.24
1000 177.48999999999998
0010 177.95
0100 178.29
0001 179.1
1000 179.32
0100 179.79
0010 180.13
0001 180.24
1000 180.48
0001 180.70999999999998
0100 180.85999999999999
0001 181.45
1000 181.60999999999999
0100 181.97
1000 182.07
0010 182.31
1000 182.53
0001 182.77
0010 183.0
0001 183.45000000000002
1000 183.8
0001 183.9
0100 184.13
0020 184.35999999999999
1030 185.28
1000 185.73999999999998
0100 185.98999999999998
1000 186.42999999999998
0001 186.65999999999997
0100 187.33999999999997
0010 187.55999999999997
0100 187.79
0001 188.25
1000 188.49
0100 188.93
0010 189.18
0100 189.4
0010 189.64
0001 189.87
0010 190.07999999999998
0001 190.30999999999997
1000 190.76
0010 190.89
0100 190.95999999999998
0010 191.2
0100 191.27999999999997
0001 191.67
1000 191.79
0010 192.6
0100 192.83
0001 193.07
1000 193.29
0100 193.74
0010 193.98
0001 194.2
1000 194.32999999999998
0010 194.42999999999998
0100 194.67
0001 194.76999999999998
0010 194.89999999999998
0100 195.35
1000 195.57
0100 195.79999999999998
0010 196.04
0100 196.27
1000 196.72
0001 197.19
0100 197.54
0001 197.64000000000001
0100 197.88
0001 198.1
1000 198.32999999999998
0100 198.56
1000 198.78
0100 199.01
0010 199.23
0001 199.92000000000002
1000 200.39000000000001
0010 200.74
0100 200.85
0001 201.08
0100 201.31
0001 201.66
1000 201.76
0001 202.0
1000 202.21
0001 202.68
0010 202.79
0100 202.91
1000 203.14
0100 203.6
0010 203.71999999999997
0011 204.04999999999998
0010 204.29
0001 204.51
1000 204.85999999999999
0010 204.96999999999997
1000 205.2
0001 205.63
0100 205.89
0001 205.99
0100 206.1
0001 206.34
0010 206.57
0100 207.03
1000 207.26
0001 207.48
1000 207.73
0001 207.94
1000 208.07
0001 208.17
0010 208.39999999999998
0100 208.63
0010 208.98999999999998
0100 209.1
1000 209.55
0010 210.01
1000 210.24
0010 210.46
1000 210.81
0001 210.92
0010 211.36999999999998
0100 211.85
2000 212.29999999999998
3200 213.23000000000002
0310 214.13
0001 214.37
0010 214.48000000000002
0001 214.71
1000 215.04999999999998
0010 215.4
0100 215.51
0001 215.73999999999998
1000 215.97
0100 216.42
0010 216.66
0001 216.87
0010 217.01
0200 217.33999999999997
1300 217.57999999999998
0001 217.79999999999998
0100 218.04
0010 218.24999999999997
1000 218.61999999999998
0001 218.70999999999998
0010 218.94
0200 219.17
1300 219.62
0001 220.07
0100 220.32
0010 220.54999999999998
1000 220.79999999999998
0100 220.99999999999997
1000 221.23999999999998
0010 221.35
0200 221.43999999999997
0301 221.92
0020 222.38
0031 222.82
0100 223.18
0001 223.29
1000 223.67
0100 223.75
0010 224.1
0001 224.2
1000 224.43
0020 224.66
0030 225.11999999999998
0001 225.58999999999997
1000 225.92999999999998
0002 226.04999999999998
0013 226.48999999999998
0100 226.73
1000 226.96
1010 227.41
0101 227.87
0001 228.23
0100 228.31
0010 228.79
1000 229.01999999999998
0001 229.23999999999998
0010 229.48
0100 229.7
0010 229.82999999999998
0001 230.04
1000 230.16
0001 230.28
1000 230.39999999999998
0001 230.51
1000 230.60999999999999
0002 231.06999999999996
0013 231.29999999999998
0100 231.52999999999997
1000 231.64999999999998
0001 231.76
1000 231.87999999999997
0010 232.08999999999997
0100 232.20999999999998
0010 232.34
0100 232.45
0001 232.69
1000 232.9
0100 233.14
0010 233.26
0001 233.48
0100 233.6
0010 233.81
1000 233.94
0100 234.16
0010 234.27999999999997
0100 234.39999999999998
1000 234.51
0002 234.73999999999998
0003 235.17999999999998
0100 235.42999999999998
0020 235.64999999999998
1030 235.87999999999997
0100 235.96999999999997
0010 236.10999999999999
0002 236.57
0003 237.04
0100 237.27
0020 237.49
1030 237.95
0001 238.41
0010 238.86999999999998
0100 238.98999999999998
1000 239.32
0010 239.77999999999997
0100 240.01
0001 240.24
1000 240.47
0100 240.69
0010 240.82
0100 240.93
0010 241.15
0001 241.38
1000 241.61
0001 241.86
0100 242.07
0100 242.30999999999997
0001 242.51999999999998
0100 242.64999999999998
0010 242.75
1000 242.98
1001 243.42999999999998
1000 243.9
0100 244.13
0010 244.35
0001 244.59
0100 244.82
0010 245.04
1000 245.18
0100 245.27
0010 245.4
0100 245.5
1000 245.74
0010 245.95
0100 246.07999999999998
0001 246.19
0010 246.31
0001 246.41
2000 246.64999999999998
3010 246.87
0100 247.1
0001 247.32999999999998
0010 247.56
0200 248.02999999999997
0300 248.26
0010 249.15999999999997
0001 249.39
